SENSOR ID,DATE TIME,VALUE STANDARDIZED
103,2020-07-01 00:34:46,-16.00
106,2020-07-01 00:34:46,-18.55
104,2020-07-01 00:34:46,99.99
105,2020-07-01 00:34:46,-17.22
107,2020-07-01 00:34:46,-17.77
109,2020-07-01 00:34:46,-17.22
108,2020-07-01 00:34:46,-17.11
113,2020-07-01 00:34:46,-17.00
110,2020-07-01 00:34:46,-17.99
111,2020-07-01 00:34:46,-17.44
112,2020-07-01 00:34:46,-19.55
115,2020-07-01 00:34:46,-18.66
116,2020-07-01 00:34:46,-17.55
117,2020-07-01 00:34:46,-18.99
118,2020-07-01 00:34:46,-18.33
114,2020-07-01 00:34:46,99.99
101,2020-07-01 00:36:17,-19.88
103,2020-07-01 00:36:17,-16.44
102,2020-07-01 00:36:17,-16.00
104,2020-07-01 00:36:17,99.99
105,2020-07-01 00:36:17,-17.44
106,2020-07-01 00:36:17,-17.11
107,2020-07-01 00:36:17,-17.88
108,2020-07-01 00:36:17,-17.44
109,2020-07-01 00:36:17,-17.77
110,2020-07-01 00:36:17,-16.55
115,2020-07-01 00:36:17,-17.11
111,2020-07-01 00:36:17,-17.77
112,2020-07-01 00:36:17,-19.99
113,2020-07-01 00:36:17,-17.44
114,2020-07-01 00:36:17,99.99
116,2020-07-01 00:36:17,-16.00
117,2020-07-01 00:36:17,-17.33
118,2020-07-01 00:36:17,-18.77
101,2020-07-01 00:38:39,-18.33
102,2020-07-01 00:38:39,-16.44
103,2020-07-01 00:38:39,-16.88
104,2020-07-01 00:38:39,99.99
109,2020-07-01 00:38:39,-16.44
105,2020-07-01 00:38:39,-16.00
106,2020-07-01 00:38:39,-17.66
107,2020-07-01 00:38:39,-17.88
108,2020-07-01 00:38:39,-17.88
110,2020-07-01 00:38:39,-15.11
111,2020-07-01 00:38:39,-16.11
112,2020-07-01 00:38:39,-18.44
113,2020-07-01 00:38:39,-17.99
114,2020-07-01 00:38:39,99.99
115,2020-07-01 00:38:39,-17.66
116,2020-07-01 00:38:39,-16.77
117,2020-07-01 00:38:39,-17.88
118,2020-07-01 00:38:39,-17.00
101,2020-07-01 00:40:09,-18.99
102,2020-07-01 00:40:09,-16.44
103,2020-07-01 00:40:09,-16.77
104,2020-07-01 00:40:09,99.99
109,2020-07-01 00:40:09,-16.33
106,2020-07-01 00:40:09,-17.44
105,2020-07-01 00:40:09,-17.99
107,2020-07-01 00:40:09,-17.99
108,2020-07-01 00:40:09,-17.77
110,2020-07-01 00:40:09,-16.88
111,2020-07-01 00:40:09,-16.11
112,2020-07-01 00:40:09,-18.77
113,2020-07-01 00:40:09,-17.88
114,2020-07-01 00:40:09,99.99
115,2020-07-01 00:40:09,-17.66
116,2020-07-01 00:40:09,-16.44
117,2020-07-01 00:40:09,-17.88
118,2020-07-01 00:40:09,-17.22
101,2020-07-01 00:43:07,-17.99
102,2020-07-01 00:43:07,-16.66
103,2020-07-01 00:43:07,-16.99
104,2020-07-01 00:43:07,99.99
109,2020-07-01 00:43:07,-16.44
105,2020-07-01 00:43:07,-16.33
106,2020-07-01 00:43:07,-17.88
107,2020-07-01 00:43:07,-16.00
108,2020-07-01 00:43:07,-17.99
110,2020-07-01 00:43:07,-16.99
111,2020-07-01 00:43:07,-16.44
112,2020-07-01 00:43:07,-17.77
113,2020-07-01 00:43:07,-17.99
114,2020-07-01 00:43:07,99.99
115,2020-07-01 00:43:07,-16.33
116,2020-07-01 00:43:07,-16.66
117,2020-07-01 00:43:07,-16.00
118,2020-07-01 00:43:07,-17.88
103,2020-07-01 00:44:38,-15.00
106,2020-07-01 00:44:38,-17.88
104,2020-07-01 00:44:38,99.99
105,2020-07-01 00:44:38,-16.55
101,2020-07-01 00:44:38,-17.99
102,2020-07-01 00:44:38,-16.88
107,2020-07-01 00:44:38,-16.11
108,2020-07-01 00:44:38,-16.00
109,2020-07-01 00:44:38,-16.66
110,2020-07-01 00:44:38,-15.11
111,2020-07-01 00:44:38,-16.55
112,2020-07-01 00:44:38,-17.44
113,2020-07-01 00:44:38,-16.00
114,2020-07-01 00:44:38,99.99
115,2020-07-01 00:44:38,-16.33
116,2020-07-01 00:44:38,-16.77
117,2020-07-01 00:44:38,-16.11
118,2020-07-01 00:44:38,-17.99
101,2020-07-01 00:46:08,-18.99
102,2020-07-01 00:46:08,-16.66
103,2020-07-01 00:46:08,-16.88
104,2020-07-01 00:46:08,99.99
105,2020-07-01 00:46:08,-16.22
106,2020-07-01 00:46:08,-17.55
110,2020-07-01 00:46:08,-16.88
107,2020-07-01 00:46:08,-16.11
